x,y,BEN,CH4,H2S,TOL,VOC,XYM,XYP,id
-90.10092,35.101650098,9.717,1.997,0.922,-55.676,106.405,756.631,-1.213,1
-90.1009,35.101645,13.696,2.002,10.826,-52.997,150.879,1205.2,-3.165,2
-90.10087,35.101635,2.442,1.973,2.667,-62.732,119.438,983.504,-8.168,3
-90.10083,35.101630098,5.805,1.973,5.244,-61.617,125.722,1006.72,-10.514,4
-90.10077,35.10164,5.811,1.952,5.244,-59.806,125.456,1023.69,-11.652,5
-90.10071,35.10166,4.733,1.952,-1.957,-62.468,120.345,1038.16,-13.202,6
-90.100655,35.10169,3.895,1.961,-1.957,-63.371,113.663,1049.2,-13.585,7
-90.1006,35.101725,0.307,1.961,1.097,-67.749,107.113,1050.22,-11.728,8
-90.100545,35.10176,-1.915,1.963,1.097,-67.85,89.766,1025.3,-14.197,9
-90.100475,35.1018,-3.949,1.963,3.382,-66.348,80.429,981.351,-11.924,10
-90.100405,35.10184,-4.187,1.96,3.382,-58.6,75.318,917.897,-10.691,11
-90.10036,35.10187,-1.584,1.96,3.148,-57.137,74.101,891.1,-8.656,12
-90.10033,35.10189,-1.584,1.96,3.148,-57.137,74.234,891.1,-8.656,13
-90.10029,35.101915,0.84,1.985,3.148,-54.602,75.318,828.801,-8.2,14
-90.100255,35.101935,1.745,1.985,3.616,-52.888,75.34,807.861,-7.557,15
-90.10021,35.10196,4.764,1.985,3.616,-51.064,75.539,782.839,-7.087,16
-90.100165,35.101985,7.823,1.977,3.616,-49.717,75.849,752.961,-5.994,17
-90.100115,35.102015,9.266,1.977,1.094,-51.413,74.167,738.785,-4.239,18
-90.10006,35.102055,7.835,1.977,1.094,-49.395,71.8,723.465,-2.844,19
-90.100015,35.102085,6.311,1.992,1.094,-48.743,68.702,712.94,-1.942,20
-90.099975,35.102105,7.211,1.992,1.661,-46.92,66.512,700.957,-0.952,21
-90.09994,35.102125,7.549,1.992,1.661,-44.812,64.675,673.875,-0.8,22
-90.099885,35.102165,5.069,1.956,1.661,-45.616,60.537,653.415,-2.01,23
-90.099835,35.102195,2.752,1.956,4.576,-43.462,53.767,616.932,-2.34,24
-90.09979,35.102225,2.381,1.956,4.576,-41.458,50.027,595.898,-1.905,25
-90.09973,35.102265,2.262,1.952,4.576,-41.629,45.447,570.738,-2.137,26
-90.09968,35.102295,1.782,1.952,0.068,-39.207,43.721,542.503,-2.971,27
-90.09962,35.102335,2.461,1.975,0.068,-37.442,39.606,498.749,-0.611,28
-90.09956,35.10237,2.465,1.975,0.197,-35.717,35.844,479.679,1.91,29
-90.099505,35.1024,0.675,1.956,0.197,-36.836,31.751,439.625,3.374,30
-90.09944,35.102435,0.559,1.956,1.364,-38.398,31.065,425.128,5.74,31
-90.09939,35.10246,0.724,1.965,1.364,-35.548,27.791,399.809,5.854,32
-90.099345,35.102485,0.724,1.965,1.432,-35.548,28.056,399.809,5.854,33
-90.09929,35.102515,1.354,1.965,1.432,-31.684,29.693,382.3,5.48,34
-90.09923,35.102545,1.921,1.959,1.432,-31.657,30.401,370.727,5.848,35
-90.09917,35.10257,4.908,1.959,4.311,-35.944,31.154,359.49,8.113,36
-90.099125,35.10259,3.941,1.972,4.311,-36.273,31.132,358.564,9.152,37
-90.099085,35.10261,3.379,1.972,-5.729,-32.505,30.07,303.917,14.091,38
-90.09904,35.102625,1.565,2.022,-5.729,-31.731,29.118,283.039,15.531,39
-90.09901,35.102635,1.141,2.022,-3.546,-30.281,28.277,281.527,16.855,40
-90.09898,35.102645,-2.165,2.024,-3.546,-30.17,27.503,270.486,17.806,41
-90.09894,35.10266,-2.165,2.024,-0.252,-25.57,25.866,270.486,17.806,42
-90.09891,35.102675,0.97,1.947,11.456,-20.683,23.609,221.929,17.227,43
-90.09889,35.10269,4.718,2.003,11.456,-13.48,22.923,178.737,26.507,44
-90.09887,35.10271,0.275,1.966,3.072,-15.088,3.031,51.672,17.651,45
-90.098855,35.102725,2.838,1.953,7.971,-15.088,2.478,51.246,18.448,46
-90.098835,35.102745,3.73,1.953,7.971,-18.227,2.921,49.633,18.774,47
-90.0988,35.102775,3.472,2.013,7.971,-19.436,2.766,44.385,20.608,48
-90.09875,35.102805,3.8,2.013,-0.031,-18.42,2.124,43.129,22.582,49
-90.098695,35.10283,2.791,1.927,-0.031,-19.537,0.464,31.785,22.203,50
-90.098655,35.102840098,4.499,1.927,9.857,-17.092,-0.177,31.145,21.707,51
-90.098595,35.102855,5.068,1.927,9.857,-17.534,-0.73,33.182,20.993,52
-90.098525,35.10288,5.641,1.947,9.857,-16.082,-0.288,40.349,20.773,53
-90.098485,35.102890098,4.173,1.947,-0.747,-17.86,-0.819,38.665,21.374,54
-90.098425,35.1029,4.284,1.947,-0.747,-16.163,-0.929,32.072,20.47,55
-90.098375,35.102910098,6.266,1.97,2.123,-13.208,-1.084,37.997,22.051,56
-90.09835,35.102905,6.266,1.97,2.123,-13.208,-1.195,23.233,22.051,57
-90.09832,35.10288,4.406,1.958,2.123,-13.082,-1.77,-1.095,21.458,58
-90.09832,35.10284,5.845,1.958,1.858,-13.526,-2.412,3.299,23.633,59
-90.098345,35.10281,4.206,1.902,1.858,-17.811,-3.319,17.605,23.348,60
-90.098385,35.102785,5.561,1.902,0.113,-16.767,-3.673,25.64,23.221,61
-90.098425,35.10276,3.325,2.142,0.113,-14.978,-3.164,2.206,22.55,62
-90.09846,35.10274,3.858,2.142,1.516,-13.306,-3.894,13.917,20.627,63
-90.09851,35.10271,1.902,2.142,1.516,-16.699,-3.939,27.041,19.72,64
-90.098575,35.10267,2.611,2.015,2.497,-19.427,-4.16,44.959,18.66,65
-90.09863,35.10264,2.582,2.031,2.497,-16.936,-4.381,37.821,18.884,66
-90.098675,35.102615,3.771,2.031,3.31,-14.028,-3.74,37.249,18.19,67
-90.09873,35.102585,6.413,2.472,3.31,-15.305,-2.412,48.749,18.708,68
-90.09879,35.10255,5.164,2.472,10.597,-16.343,-2.014,50.322,18.55,69
-90.09884,35.10252,3.073,2.111,10.597,-14.821,-2.766,52.987,17.847,70
-90.09889,35.10249,1.226,2.111,-3.305,-15.134,-2.899,40.3,19.355,71
-90.09894,35.10246,-1.398,2.005,-3.305,-16.191,-2.523,23.507,19.136,72
-90.09899,35.10243,-1.703,2.005,5.113,-13.443,-2.368,20.059,19.346,73
-90.09904,35.102395,-1.274,1.933,5.113,-15.222,-2.478,13.956,17.196,74
-90.099085,35.102365,-0.38,1.933,9.009,-14.69,-1.837,19.091,17.079,75
-90.099125,35.10234,-0.468,1.934,9.009,-18.048,-1.372,22.819,16.591,76
-90.099175,35.102305,0.674,1.934,5.325,-15.442,0.11,19.739,17.818,77
-90.099235,35.102265,0.248,1.972,6.376,-14.778,0.597,19.992,19.075,78
-90.09929,35.10223,0.529,1.972,6.376,-17.978,1.372,29.384,20.743,79
-90.09934,35.1022,-0.171,1.946,6.376,-19.25,0.907,32.811,21.702,80
-90.09937,35.10218,2.713,1.946,5.565,-19.671,0.752,28.062,21.524,81
-90.0994,35.10216,1.049,1.946,5.565,-14.322,1.35,14.336,19.971,82
-90.099455,35.10213,0.548,1.96,5.565,-15.685,2.035,9.592,19.875,83
-90.09951,35.1021,0.211,1.96,4.15,-15.972,2.766,2.542,20.075,84
-90.099555,35.102075,-0.946,1.96,4.15,-15.118,4.447,9.72,19.318,85
-90.099605,35.102045,1.151,2.008,4.15,-14.969,4.314,9.316,20.326,86
-90.099665,35.10201,0.329,2.008,-2.263,-16.414,4.868,18.175,20.914,87
-90.09974,35.101965,-1.806,2.016,-2.263,-14.172,5.244,14.579,21.004,88
-90.099815,35.10192,-1.287,2.016,-3.13,-13.048,8.253,10.278,21.415,89
-90.099875,35.10188,-1.214,1.983,-3.13,-15.12,10.886,8.173,21.086,90
-90.099915,35.101855,0.752,1.983,1.984,-13.891,12.855,15.53,21.872,91
-90.099965,35.101825,0.752,1.983,1.984,-13.891,14.139,15.53,21.872,92
-90.100025,35.101785,-1.239,1.979,1.984,-14.368,15.178,36.278,19.487,93
-90.100065,35.10176,-1.239,1.979,4.624,-14.368,18.63,36.278,19.487,94
-90.100095,35.10174,-1.199,1.979,4.624,-14.423,20.268,42.962,19.565,95
