"","x","y","BEN","CH4","H2S","TOL","VOC","XYM","XYP"
"1",-90.00394,35.07341,0,0,0,0,0,0,0
"2",-90.003885,35.07338,0,0,0,0,0,0,0
"3",-90.00384,35.073365,0,0,0,0,0,0,0
"4",-90.003795,35.073360098,0,0,0,0,0,0,0
"5",-90.00375,35.073355,0,0,0,0,0,0,0
"6",-90.003715,35.07334,0,0,0,0,0,0,0
"7",-90.00369,35.07331,0,0,0,0,0,0,0
"8",-90.003675,35.073275,0,0,0,0,0,0,0
"9",-90.00366,35.07322,0,0,0,0,0,0,0
"10",-90.00364,35.073145,0,0,0,0,0,0,0
"11",-90.003625,35.073075,0,0,0,0,0,0,0
"12",-90.00361,35.073005,0,0,0,0,0,0,0
"13",-90.003595,35.072935,0,0,0,0,0,0,0
"14",-90.003585,35.072875,0,0,0,0,0,0,0
"15",-90.00357,35.07281,0,0,0,0,0,0,0
"16",-90.003555,35.07275,0,0,0,0,0,0,0
"17",-90.00354,35.072705,0,0,0,0,0,0,0
"18",-90.003525,35.07265,0,0,0,0,0,0,0
"19",-90.003515,35.07259,0,0,0,0,0,0,0
"20",-90.003505,35.07254,0,0,0,0,0,0,0
"21",-90.00349,35.072505,0,0,0,0,0,0,0
"22",-90.003475,35.072465,0,0,0,0,0,0,0
"23",-90.003465,35.07242,0,0,0,0,0,0,0
"24",-90.003455,35.07238,0,0,0,0,0,0,0
"25",-90.00345,35.072345,0,0,0,0,0,0,0
"26",-90.003445,35.072315,0,0,0,0,0,0,0
"27",-90.003435,35.07228,0,0,0,0,0,0,0
"28",-90.003425,35.072235,0,0,0,0,0,0,0
"29",-90.003415,35.07219,0,0,0,0,0,0,0
"30",-90.003405,35.072155,0,0,0,0,0,0,0
"31",-90.00339,35.07211,0,0,0,0,0,0,0
"32",-90.003375,35.072055,0,0,0,0,0,0,9.646
"33",-90.003365,35.072005,0,0,0,0,0,0,0
"34",-90.003355,35.071955,0,0,0,0,0,0,0
"35",-90.003345,35.07191,0,0,0,0,0,0,0
"36",-90.003335,35.071855,0,0,0,0,0,0,0
"37",-90.00333,35.071805,0,0,0,0,0,0,0
"38",-90.00333,35.07177,0,0,0,0,0,0,0
"39",-90.00333,35.071735,0,0,0,0,0,0,0
"40",-90.003335,35.071705,0,0,0,0,0,0,0
"41",-90.003355,35.071675,0,0,0,0,0,0,0
"42",-90.0034,35.071645,0,0,0,0,0,0,0
"43",-90.00347,35.071625,0,0,0,0,0,0,0
"44",-90.003565,35.071625,0,0,0,0,0,0,0
"45",-90.00364,35.071630098,0,0,0,0,0,0,0
"46",-90.003735,35.071635,0,0,0,0,0,0,0
"47",-90.003835,35.071645,0,0,0,0,0,0,0
"48",-90.003885,35.071650098,0,0,0,0,0,0,0
"49",-90.004015,35.07166,0,0,0,0,0,0,0
"50",-90.004175,35.071675,0,0,0,0,0,0,0
